lncRNA_ID,Score,PredLabel
lNONHSAG008439,1.3339466100582733,1
lNONHSAG017683,1.3173563318935884,1
lNONHSAG047966,1.3608383484450108,1
lNONHSAG048817,1.294778664873828,1
lAC004702.2,1.2360372929168442,1
lNONHSAG048895,0.9144116906681994,1
lNONHSAG029628,1.5199593388680164,1
lNONHSAG018766,1.2459351576537578,1
lRP5-1126H10.2,1.6200078599103271,1
lNONHSAG017952,1.2828129992618749,1
lENSG00000197332,1.6903521492668254,1
lNONHSAG025555,1.1070896435682975,1
lNONHSAG090333,1.400753718890666,1
lNONHSAG020774,1.5921492948442584,1
lNONHSAG048603,1.4191116246314657,1
lNONHSAG014473,2.052352557460903,1
lHSALNG0065869,1.116853443661494,1
lNONHSAG024431,0.9909372310897133,1
lHSALNG0088600,1.2217465600039041,1
lENSG00000232754,1.1683827467180627,1
lNONHSAG031790,1.4471255403793997,1
lNONHSAG022450,1.1890782175169328,1
lNONHSAG029873,1.5548072061077498,1
lHSALNG0026555,1.3496006606239312,1
lENSG00000224481,1.8178630562786502,1
lNONHSAG032406,1.430298219038871,1
lHSALNG0135439,1.2231060019854532,1
lSENP3-EIF4A1,1.0809549113597363,1
lNONHSAG020671,1.0767415437063583,1
lNONHSAG040081,1.2527021221891452,1
lNONHSAG021911,1.0430194765426073,1
lNONHSAG099742,0.9216887490358623,1
lNONHSAG006173,1.5998371101399265,1
lNONHSAG026461,1.231292907404903,1
lNONHSAG002731,1.5698748805097118,1
lNONHSAG034305,1.292806951066492,1
lNONHSAG048159,1.191882731195161,1
lNONHSAG001278,1.3672478738444447,1
lNONHSAG009768,1.4093132636378236,1
lNONHSAG019379,1.435015636239978,1
lNONHSAG020285,1.5092548327630446,1
lNONHSAG018293,1.560714735418454,1
lUGDH-AS1,1.3329328066172188,1
lNONHSAG019770,1.4724864585650401,1
lNONHSAG034341,1.3765571010256217,1
lNONHSAG006248,1.5082159933253472,1
lNONHSAG007353,1.3297518059080708,1
lNONHSAG009415,1.3617162811119492,1
lNONHSAG015348,1.2678314840616416,1
lNONHSAG019784,1.2114071268407507,1
lNONHSAG048616,1.250489151659675,1
lNONHSAG016018,1.7750651194468325,1
lNONHSAG016884,1.4798882703669385,1
lNONHSAG049129,0.941792437385228,1
lENSG00000288700,1.80752547475117,1
lNONHSAG025700,1.444852617335325,1
lNONHSAG049268,1.2286730235424805,1
lNONHSAG017417,1.0962195398758858,1
lNONHSAG034492,1.6361546424369031,1
lNONHSAG024543,1.4888729252129558,1
lNONHSAG054937,0.8435006837807855,1
lNONHSAG005499,1.2380154910597518,1
lNONHSAG053763,1.3162352442075722,1
lNONHSAG003068,1.4413205722362612,1
lNONHSAG014616,1.2728764790433722,1
lHSALNG0116559,1.1816779647857736,1
lNONHSAG022315,1.3690597789397678,1
lNONHSAG016307,0.9574799743297682,1
lNONHSAG005114,1.210640179516627,1
lNONHSAG022030,1.5392984518600876,1
lNONHSAG020341,1.4764074722730633,1
lNONHSAG017074,1.5133425311639392,1
lNONHSAG006265,1.6659750939541418,1
lHSALNG0096271,1.786885865274936,1
lENSG00000197099,0.9999675712768514,1
lNONHSAG022510,1.2753083707374024,1
lNONHSAG031248,1.2086422873496865,1
lAC135048.13,1.3213547719990935,1
lNONHSAG032018,1.267327623147434,1
lENSG00000268981,1.0002281393323607,1
lNONHSAG009222,1.5202253602780296,1
lNONHSAG047847,1.5103521976668013,1
lNONHSAG014330,1.0226706975735418,1
lNONHSAG030227,1.2840162818104481,1
lHSALNG0084892,2.051301819587078,1
lNONHSAG023028,1.2567700186222446,1
lNONHSAG027783,1.4802024983198088,1
lHSALNG0144821,1.2719521081564515,1
lNONHSAG021678,0.8861629309647832,1
lNONHSAG001999,1.2485432353014367,1
lNONHSAG005689,1.4357598947122305,1
lNONHSAG016759,1.2896917705396582,1
lENSG00000254394,1.5215183753971324,1
lNONHSAG014372,0.756984268820883,1
lNONHSAG034613,0.9924150870493769,1
lENSG00000257337,1.1286014021868702,1
lNONHSAG017166,1.0533705861138252,1
lRP11-23J9.4,1.5696900137185956,1
lNONHSAG032383,1.5094671540966935,1
lNONHSAG019852,1.5006101415625857,1
lNONHSAG041899,1.1596459428283588,1
lNONHSAG009219,1.0011239682053308,1
lNONHSAG054207,0.9927181805450083,1
lNONHSAG023418,1.1585770018752264,1
lNONHSAG037408,1.0857480778954134,1
lHSALNG0032699,1.8189908829383192,1
lNONHSAG035164,1.1323035144797835,1
lNONHSAG022595,1.4280342042752032,1
lHSALNG0088972,1.4240139054696463,1
lNONHSAG035347,1.5076330647944864,1
lNONHSAG034336,1.1768561079325046,1
lNONHSAG048195,1.6010320503219866,1
lNONHSAG046839,1.0349672651506658,1
lNONHSAG052891,1.4372941430948991,1
lNONHSAG030407,1.4347680050763465,1
lNONHSAG011593,1.0860292956758677,1
lNONHSAG041783,1.4625256587935205,1
lNONHSAG023258,1.154510663459245,1
lHSALNG0059099,1.7406498118722418,1
lENSG00000259410,1.8920452328533024,1
lNONHSAG002859,1.2247708199825915,1
lNONHSAG026550,0.9798358012548327,1
lNONHSAG020474,1.1066162907983106,1
lNONHSAG053338,1.225803745245127,1
lNONHSAG017686,1.4407253290838433,1
lNONHSAG024462,0.9021334787471282,1
lNONHSAG037765,1.2177357435373004,1
lNONHSAG041178,1.33771884980818,1
lNONHSAG028595,1.5173352939705005,1
lNONHSAG001968,1.2639204493595706,1
lNONHSAG035348,1.367078638156709,1
