identifier,gene_id,symbol
NONMMUG043221,NONMMUG043221,Narg2
-,-,Nat13
-,-,Neurl
-,-,Neurod1/Cerkl
-,-,Niban
-,-,Nol5a
-,-,Nope
NONMMUG042852,NONMMUG042852,NONMMUG042851
-,-,Oprm1 Ipcef1
-,-,Orc3l
-,-,Orc4l
-,-,Orc5l
NONMMUG020732,NONMMUG020732,NONMMUG020729
-,-,Patl2 B2m
-,-,Pcp4/Igsf5
-,-,Pctk1
-,-,Penk1
-,-,Pftk1
NONMMUG021846,NONMMUG021846,NONMMUG021845
-,-,Plec1
NONMMUG040145,NONMMUG040145,Ppapdc1b
-,-,Ppm2c
-,-,Ppp1r1b 1700003D09Rik
-,-,Ppp3r1/Wdr92
-,-,Prei4
-,-,Prkcbp1
-,-,Prr8
-,-,Psmd1/Armc9
-,-,Rab6
NONMMUG028306,NONMMUG028306,NONMMUG028306
-,-,Raet1a
-,-,Raver1-fdx1l
-,-,Rbm9
NONMMUG013092,NONMMUG013092,NONMMUG013087
NONMMUT056739,NONMMUT056739,Rn4.5s
-,-,Rn45s
-,-,Rnasen
-,-,RNCR3
-,-,Rnf12
-,-,RP23-104I6.1
-,-,RP23-106P4.2
-,-,RP23-109E24.2
-,-,RP23-144K18.1
-,-,RP23-16N14.1
-,-,RP23-171J18.1
-,-,RP23-189F6.3
-,-,RP23-198F11.2
-,-,RP23-270A19.3
-,-,RP23-277K21.1
-,-,RP23-294O1.1
-,-,RP23-307I20.1
-,-,RP23-309D8.2
-,-,RP23-31O23.5
-,-,RP23-334J9.1
NONMMUT009843,NONMMUT009843,RP23-336J1.8
-,-,RP23-338O4.6
-,-,RP23-348F1.1
-,-,RP23-353O20.2
-,-,RP23-386E10.10
-,-,RP23-418N2.3
-,-,RP23-431C5.1
-,-,RP23-443L17.4
-,-,RP23-64N1.1
-,-,RP23-94F11.5
-,-,RP23-97P13.1
-,-,RP24-104I20.4
-,-,RP24-174M12.1
-,-,RP24-242M17.3
-,-,RP24-255G1.8
-,-,RP24-556H22.1
NONMMUG019909,NONMMUG019909,RP24-94D24.1
NONMMUG004527,NONMMUG004527,NONMMUG004527
NONMMUG002177,NONMMUG002177,NONMMUG002177
NONMMUG036985,NONMMUG036985,NONMMUG036984
NONMMUG032378,NONMMUG032378,NONMMUG032378
NONMMUG028328,NONMMUG028328,NONMMUG028328
NONMMUG028352,NONMMUG028352,NONMMUG028352
