dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
115,10090,ENSMUSG00000002957,Ap2a2,NE,,"{""mgi_marker"":""MGI:101920"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101920""}"
115,10090,ENSMUSG00000028364,Tnc,NE,,"{""mgi_marker"":""MGI:101922"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101922""}"
115,10090,ENSMUSG00000024597,Slc12a2,C,,"{""mgi_marker"":""MGI:101924"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101924""}"
115,10090,ENSMUSG00000029755,Dlx5,C,,"{""mgi_marker"":""MGI:101926"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101926""}"
115,10090,ENSMUSG00000029754,Dlx6,C,,"{""mgi_marker"":""MGI:101927"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101927""}"
115,10090,ENSMUSG00000005089,Slc1a2,C,,"{""mgi_marker"":""MGI:101931"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101931""}"
115,10090,ENSMUSG00000037852,Cpe,NE,,"{""mgi_marker"":""MGI:101932"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101932""}"
115,10090,ENSMUSG00000038482,Tfdp1,C,,"{""mgi_marker"":""MGI:101934"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101934""}"
115,10090,ENSMUSG00000019876,Pkib,NE,,"{""mgi_marker"":""MGI:101937"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101937""}"
115,10090,ENSMUSG00000032498,Mlh1,C,,"{""mgi_marker"":""MGI:101938"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101938""}"
115,10090,ENSMUSG00000030220,Arhgdib,NE,,"{""mgi_marker"":""MGI:101940"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101940""}"
115,10090,ENSMUSG00000027490,E2f1,C,,"{""mgi_marker"":""MGI:101941"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101941""}"
115,10090,ENSMUSG00000025317,Car5a,NE,,"{""mgi_marker"":""MGI:101946"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101946""}"
115,10090,ENSMUSG00000000568,Hnrnpd,NE,,"{""mgi_marker"":""MGI:101947"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101947""}"
115,10090,ENSMUSG00000015957,Wnt11,C,,"{""mgi_marker"":""MGI:101948"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101948""}"
115,10090,ENSMUSG00000023964,Calcr,C,,"{""mgi_marker"":""MGI:101950"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:101950""}"
115,10090,ENSMUSG00000028854,Slc9a1,C,,"{""mgi_marker"":""MGI:102462"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102462""}"
115,10090,ENSMUSG00000027544,Nfatc2,NE,,"{""mgi_marker"":""MGI:102463"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102463""}"
115,10090,ENSMUSG00000026604,Ptpn14,C,,"{""mgi_marker"":""MGI:102467"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102467""}"
115,10090,ENSMUSG00000054580,Pla2r1,NE,,"{""mgi_marker"":""MGI:102468"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102468""}"
115,10090,ENSMUSG00000033016,Nfatc1,C,,"{""mgi_marker"":""MGI:102469"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102469""}"
115,10090,ENSMUSG00000064355,mt-Tk,NE,,"{""mgi_marker"":""MGI:102483"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102483""}"
115,10090,ENSMUSG00000064339,mt-Rnr2,C,,"{""mgi_marker"":""MGI:102492"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102492""}"
115,10090,ENSMUSG00000064368,mt-Nd6,NE,,"{""mgi_marker"":""MGI:102495"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102495""}"
115,10090,ENSMUSG00000064345,mt-Nd2,NE,,"{""mgi_marker"":""MGI:102500"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102500""}"
115,10090,ENSMUSG00000064351,mt-Co1,NE,,"{""mgi_marker"":""MGI:102504"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102504""}"
115,10090,ENSMUSG00000031553,Adam3,NE,,"{""mgi_marker"":""MGI:102518"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102518""}"
115,10090,ENSMUSG00000027447,Cst3,C,,"{""mgi_marker"":""MGI:102519"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102519""}"
115,10090,ENSMUSG00000004264,Phb2,C,,"{""mgi_marker"":""MGI:102520"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102520""}"
115,10090,ENSMUSG00000020882,Cacnb1,C,,"{""mgi_marker"":""MGI:102522"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102522""}"
115,10090,ENSMUSG00000024497,Pou4f3,NE,,"{""mgi_marker"":""MGI:102523"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102523""}"
115,10090,ENSMUSG00000031688,Pou4f2,NE,,"{""mgi_marker"":""MGI:102524"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102524""}"
115,10090,ENSMUSG00000048349,Pou4f1,C,,"{""mgi_marker"":""MGI:102525"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102525""}"
115,10090,ENSMUSG00000056426,Nat3,NE,,"{""mgi_marker"":""MGI:102537"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102537""}"
115,10090,ENSMUSG00000030699,Tbx6,C,,"{""mgi_marker"":""MGI:102539"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102539""}"
115,10090,ENSMUSG00000018263,Tbx5,C,,"{""mgi_marker"":""MGI:102541"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102541""}"
115,10090,ENSMUSG00000002496,Tsc2,C,,"{""mgi_marker"":""MGI:102548"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102548""}"
115,10090,ENSMUSG00000072082,Ccnf,C,,"{""mgi_marker"":""MGI:102551"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102551""}"
115,10090,ENSMUSG00000025431,Crisp1,NE,,"{""mgi_marker"":""MGI:102553"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102553""}"
115,10090,ENSMUSG00000000094,Tbx4,C,,"{""mgi_marker"":""MGI:102556"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102556""}"
115,10090,ENSMUSG00000022129,Dct,NE,,"{""mgi_marker"":""MGI:102563"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102563""}"
115,10090,ENSMUSG00000045515,Pou3f3,C,,"{""mgi_marker"":""MGI:102564"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102564""}"
115,10090,ENSMUSG00000032015,Pou2f3,NE,,"{""mgi_marker"":""MGI:102565"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102565""}"
115,10090,ENSMUSG00000040632,Nrl,NE,,"{""mgi_marker"":""MGI:102567"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102567""}"
115,10090,ENSMUSG00000040138,Ndp,NE,,"{""mgi_marker"":""MGI:102570"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102570""}"
115,10090,ENSMUSG00000020936,Nmt1,C,,"{""mgi_marker"":""MGI:102579"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102579""}"
115,10090,ENSMUSG00000066441,Rdh11,NE,,"{""mgi_marker"":""MGI:102581"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102581""}"
115,10090,ENSMUSG00000018830,Myh11,C,,"{""mgi_marker"":""MGI:102643"",""db"":""MGI"",""link"":""http://www.informatics.jax.org/marker/MGI:102643""}"
