gene	essentiality	ncbi_id	ensembl
RPS24	CEGs	6229	ENSG00000138326
RPS27A	CEGs	6233	ENSG00000143947
RPS28	CEGs	6234	
RPS3	CEGs	6188	ENSG00000149273
RPS4X	CEGs	6191	ENSG00000198034
RPS4Y1	CSEGs	6192	ENSG00000129824
RPS5	CEGs	6193	
RPS6	CEGs	6194	ENSG00000137154
RPS6KA5	CSEGs	9252	ENSG00000100784
RPS6KA6	CSEGs	27330	ENSG00000072133
RPS7	CEGs	6201	ENSG00000171863
RPS8	CEGs	6202	ENSG00000142937
RPS9	CEGs	6203	ENSG00000170889
RPSA	CEGs	3921	ENSG00000168028
RRM1	CEGs	6240	ENSG00000167325
RRM2	CEGs	6241	ENSG00000171848
RRN3	CEGs	54700	ENSG00000085721
RRN3P1	CSEGs	730092	ENSG00000248124
RRP15	CEGs	51018	ENSG00000067533
RRP9	CEGs	9136	ENSG00000114767
RRS1	CEGs	23212	ENSG00000179041
RSBN1	CSEGs	54665	ENSG00000081019
RSC1A1	CSEGs	6248	ENSG00000215695
RSL1D1	CEGs	26156	ENSG00000171490
RSPH10B	CSEGs	222967	ENSG00000155026
RTN4RL1	CSEGs	146760	
RUNX1	CSEGs	861	ENSG00000159216
RUSC2	CSEGs	9853	ENSG00000198853
RUVBL2	CEGs	10856	ENSG00000183207
RXRG	CSEGs	6258	ENSG00000143171
RYR3	CSEGs	6263	ENSG00000198838
S100A16	CSEGs	140576	ENSG00000188643
S100A3	CSEGs	6274	ENSG00000188015
SACM1L	CEGs	22908	ENSG00000211456
SAMD9L	CSEGs	219285	ENSG00000177409
SAMHD1	CSEGs	25939	ENSG00000101347
SAP30BP	CEGs	29115	
SART3	CEGs	9733	ENSG00000075856
SBDS	CEGs	51119	ENSG00000126524
SBF1	CSEGs	6305	ENSG00000100241
SCAF1	CSEGs	58506	ENSG00000126461
SCAF4	CSEGs	57466	ENSG00000156304
SCAMP4	CSEGs	113178	ENSG00000227500
SCARF1	CSEGs	8578	ENSG00000074660
SCEL	CSEGs	8796	ENSG00000136155
SCFD1	CEGs	23256	ENSG00000092108
SCG3	CSEGs	29106	ENSG00000104112
SCGB1A1	CSEGs	7356	ENSG00000149021
SCGB3A2	CSEGs	117156	ENSG00000164265
SCLT1	CSEGs	132320	ENSG00000151466
SCML2	CSEGs	10389	ENSG00000102098
SCN1A	CSEGs	6323	ENSG00000144285
SCN2A	CSEGs	6326	ENSG00000136531
SCN4A	CSEGs	6329	
SCO1	CSEGs	6341	ENSG00000133028
SDAD1	CEGs	55153	ENSG00000198301
SDE2	CEGs	163859	ENSG00000143751
SDHAF1	CSEGs	644096	ENSG00000205138
SDHAF2	CSEGs	54949	ENSG00000167985
SDR9C7	CSEGs	121214	ENSG00000170426
SEC11C	CSEGs	90701	ENSG00000166562
SEC13	CEGs	6396	ENSG00000157020
SEC14L2	CSEGs	23541	ENSG00000100003
SEC61A1	CEGs	29927	ENSG00000058262
SEC61G	CEGs	23480	ENSG00000132432
SELE	CSEGs	6401	ENSG00000007908
SELP	CSEGs	6403	ENSG00000174175
SEMA3B	CSEGs	7869	ENSG00000012171
SEMA3D	CSEGs	223117	ENSG00000153993
SEMA4D	CSEGs	10507	ENSG00000187764
SEMA4G	CSEGs	57715	ENSG00000095539
SEMA6C	CSEGs	10500	ENSG00000143434
SERF2	CSEGs	10169	ENSG00000140264
SERP2	CSEGs	387923	ENSG00000151778
SERPINB10	CSEGs	5273	ENSG00000242550
SERPINB13	CSEGs	5275	ENSG00000197641
SERPIND1	CSEGs	3053	ENSG00000099937
SERPINE2	CSEGs	5270	ENSG00000135919
SERPINF2	CSEGs	5345	ENSG00000167711
SERPING1	CSEGs	710	ENSG00000149131
SERPINI2	CSEGs	5276	ENSG00000114204
SESN3	CSEGs	143686	ENSG00000149212
SEZ6L2	CSEGs	26470	ENSG00000174938
SF1	CEGs	7536	ENSG00000168066
SF3A1	CEGs	10291	ENSG00000099995
SF3A2	CEGs	8175	ENSG00000104897
SF3A3	CEGs	10946	ENSG00000183431
SF3B2	CEGs	10992	ENSG00000087365
SF3B3	CEGs	23450	ENSG00000189091
