lncRNA_ID,Score
lNONMMUG034677,0.10949940853491101
lNONMMUG023930,0.10960204048252116
lENSMUSG00000060411,0.1096227364075313
lNONMMUG016128,0.11009832524818992
lNONMMUG005542,0.1102450170411967
lNONMMUG002868,0.11024637139012847
lNONMMUG005663,0.11032962228187722
lNONMMUG006344,0.11061084197685425
lNONMMUG041757,0.11114666661217272
lNONMMUG004582,0.11141822212519772
lENSMUSG00000108379,0.11150732870199545
lNONMMUG045743,0.11169104334215532
lENSMUSG00000087593,0.11198901073709841
lENSMUSG00000089742,0.11201344245359424
lNONMMUG004460,0.11209557850904595
lNONMMUG039049,0.11215324444071455
lNONMMUG032911,0.112245504326303
lNONMMUG022209,0.11270519917702598
lNONMMUG046352,0.11271134920621423
lNONMMUG041367,0.11275109701734799
lNONMMUG010353,0.11285490099030328
lENSMUSG00000085563,0.11304534769838166
lNONMMUG002626,0.11304534769838166
lNONMMUG018962,0.11317247501443266
lNONMMUG002717,0.11334893761121757
lNONMMUG004078,0.1134903907464149
lNONMMUG026687,0.11407814356333025
lENSMUSG00000108620,0.1141792559216825
lNONMMUG039114,0.11423979519767467
lNONMMUG015088,0.11430920760363633
lNONMMUG009045,0.11467843454279804
lNONMMUG003301,0.11474043715203007
lNONMMUG008658,0.11483912786410183
lNONMMUG009760,0.1148730315693154
lNONMMUG004380,0.11491188545148119
lNONMMUG026256,0.11498231495545118
lNONMMUG045666,0.11508871832745417
lNONMMUG007950,0.11516400021411233
lNONMMUG035721,0.11533354212019355
lENSMUSG00000101922,0.1153383555349733
lNONMMUG012775,0.11547539369322064
lNONMMUG042725,0.11559434550750286
lNONMMUG014259,0.11588022250491604
lNONMMUG043636,0.11628508621246174
lENSMUSG00000099201,0.11651918964995224
lNONMMUG025916,0.1167285771194006
